,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
55,CC(C)(C)N1C(=O)[C@H](c2ccsc2)N(C(C)(C)C)C1=O,TE,L,@,S,CC(C)(C)N1C(=O)C(c2ccsc2)N(C(C)(C)C)C1=O,CC(C)(C)N1C(=O)[C@@H](c2ccsc2)N(C(C)(C)C)C1=O
56,CC(C)(C)NC(=O)[C@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,F,@,R,CC(C)(C)NC(=O)C(OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)NC(=O)[C@@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1
57,CC(C)(C)NC(=O)[C@@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,L,@@,S,CC(C)(C)NC(=O)C(OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)NC(=O)[C@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1
58,CC(C)(C)NC(=O)c1ccccc1[C@@H](C#Cc1ccccc1)Cc1ccccc1,TE,F,@@,R,CC(C)(C)NC(=O)c1ccccc1C(C#Cc1ccccc1)Cc1ccccc1,CC(C)(C)NC(=O)c1ccccc1[C@H](C#Cc1ccccc1)Cc1ccccc1
59,CC(C)(C)NC(=O)c1ccccc1[C@H](C#Cc1ccccc1)Cc1ccccc1,TE,L,@,S,CC(C)(C)NC(=O)c1ccccc1C(C#Cc1ccccc1)Cc1ccccc1,CC(C)(C)NC(=O)c1ccccc1[C@@H](C#Cc1ccccc1)Cc1ccccc1
60,CC(C)(C)OC(=O)C(C)(C)C[C@@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,TE,F,@@,R,CC(C)(C)OC(=O)C(C)(C)CC(C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,CC(C)(C)OC(=O)C(C)(C)C[C@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1
61,CC(C)(C)OC(=O)C(C)(C)C[C@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,TE,L,@,S,CC(C)(C)OC(=O)C(C)(C)CC(C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,CC(C)(C)OC(=O)C(C)(C)C[C@@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1
62,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccccc2)C1=O,TE,F,@,R,CC(C)(C)OC(=O)N1CCCC(Cc2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCC[C@@H](Cc2ccccc2)C1=O
63,CC(C)(C)OC(=O)N1CCC[C@@H](Cc2ccccc2)C1=O,TE,L,@@,S,CC(C)(C)OC(=O)N1CCCC(Cc2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccccc2)C1=O
64,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,TE,F,@,S,CC(C)(C)OC(=O)NC(C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1
